"source","target","scope"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M6","org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M6","org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","xpp3:xpp3:1.1.4c","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","org.apache.directory.server:apacheds-xdbm-base:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","org.apache.directory.server:apacheds-xdbm-tools:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-i18n:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","org.apache.directory.shared:shared-ldap-model:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","org.apache.directory.shared:shared-util:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M6","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","bouncycastle:bcprov-jdk15:140","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","commons-lang:commons-lang:2.6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.directory.shared:shared-ldap-model:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.directory.shared:shared-asn1-api:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M6","org.apache.directory.shared:shared-util:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-asn1-api:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","org.apache.directory.shared:shared-util:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","org.apache.directory.shared:shared-asn1-api:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.apache.directory.shared:shared-i18n:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.apache.directory.shared:shared-util:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","commons-lang:commons-lang:2.6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.apache.directory.shared:shared-asn1-ber:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","org.apache.directory.shared:shared-asn1-api:1.0.0-M6","Compile"
"org.apache.directory.shared:shared-ldap-model:1.0.0-M6","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","xpp3:xpp3:1.1.4c","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","dom4j:dom4j:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.directory.shared:shared-dsml-parser:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.directory.shared:shared-ldif:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","net.jangaroo:jangaroo-net:0.8.8","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","commons-pool:commons-pool:1.5.6","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-client-api:1.0.0-M5","org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M5","org.apache.directory.shared:shared-ldap-schema-dao:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M5","org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-schema-data:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-i18n:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","org.apache.directory.shared:shared-ldap-model:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","org.apache.directory.shared:shared-util:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-extras-aci:1.0.0-M5","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.mina:mina-core:2.0.0-RC1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-asn1-codec:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-ldap-jndi:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-cursor:0.9.18","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.mina:mina-core:2.0.4","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","org.apache.directory.shared:shared-i18n:1.0.0-M5","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.directory.shared:shared-ldap-codec-core:1.0.0-M5","commons-lang:commons-lang:2.6","Compile"
